netflix_url,casts,image_url,id,mood_tag,name,index,synopsis,genres,creators
https://www.netflix.com/title/80234304,"Anya Taylor-Joy, Bill Camp, Marielle Heller",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABdncnmk-gRk1M89pVISTDl0MpIsgKBk2swizl7pASTBUZeroQmElfVH8lrTQqLLd40FMdy2BnUv-34b5u_zybHpwASc7uYM6hrCBrGx5o5TglIp54_ln_8-x0JOq.jpg?r=93f,80234304,"Cerebral, Intimate, Emotional",The Queen's Gambit,68,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction.","TV Shows Based on Books, Social Issue TV Dramas, TV Dramas","Scott Frank, Allan Scott"
https://www.netflix.com/title/70242311,"Taylor Schilling, Kate Mulgrew, Laura Prepon",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABbEuItKHO8M_V73yikoYSSdjhEOkstWh8Ybd_XkbdaITMC5frA9eMXMztTsImB480LZkTRF7hWQNuUJg7q0Etb5Gn66HaoWkn9JIif-R8Rfq2gV4HcCUjIBIlkk2.jpg?r=6c0,70242311,"Deadpan, Witty, Irreverent",Orange Is the New Black,69,"When a past crime catches up with her, a privileged New Yorker ends up in a women's prison, where she quickly makes friends and foes.","TV Shows Based on Books, TV Dramas, TV Comedies, LGBTQ TV Shows",Jenji Kohan
https://www.netflix.com/title/80049832,David Attenborough,https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABVBJNC5IVOWi7Ur5qxtuq3RK2UCwy6HR1qGRLB9A2Hr_vNPhwZG9c1IBGnQCU2NHJ0cfUiGAqrQ6-Be75bwkk3CLegWaFzHOYcXU1VpOabR9D1NYxejdI0Vfgse0.jpg?r=532,80049832,Inspiring,Our Planet,70,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,"Science & Nature Docs, Nature & Ecology Documentaries, Family Watch Together TV, Science & Nature TV, Docuseries",
https://www.netflix.com/title/70140358,"Jason Bateman, Portia de Rossi, Will Arnett",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABbeK0SX_xd73Nhm4eq2ZocJ6BsrRixbp029uTfKMNVahHOvC5tu_DImNfzSi3t1RwcfdMShE7_x_odv-JUkQcVS-cznm2x989hjXtF-RRZfe7pDIXQ2_WiZnhPBd.jpg?r=51a,70140358,"Deadpan, Offbeat, Witty, Irreverent",Arrested Development,71,"It's the Emmy-winning story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.","Sitcoms, TV Comedies",Mitchell Hurwitz
https://www.netflix.com/title/81011211,"Han So-hee, Park Hee-soon, Ahn Bo-hyun",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABbS693GvZnAj5b8ab1qnm54nZf6tpzLWfzDqDjAFtZb1dAVmhBPDvzDWdB7-jK165ViSrCdVzeJkNehgGGtjoHcghYW59MgdcN4KCnsTe_XNHILEyHObxzJdjzHS.jpg?r=1bc,81011211,"Dark, Suspenseful",My Name,72,"Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction.","Korean, Crime TV Shows, TV Thrillers","Kim Va-da, Kim Jin-Min"
https://www.netflix.com/title/80113647,"Kiefer Sutherland, Maggie Q, Kal Penn",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABbrDDCUDViO6_IrfnA-hDpk2V80ocn5eAZa8RKPHazvdh_yA3LJ8xbvJKHz9_sREhV6I1DXLknOomJXv3wwcmMGMz8PVG9z4HreO0NEsMq6MdvOZXqrRD4pLY5AK.jpg?r=2d5,80113647,"Exciting, Suspenseful",Designated Survivor,73,America's fate rests in the hands of a low-level official after an attack on Washington decimates the government in this gripping political thriller.,"Crime TV Shows, Political TV Shows, TV Thrillers, TV Dramas",David Guggenheim
https://www.netflix.com/title/80117498,"Jon Bernthal, Ben Barnes, Amber Rose Revah",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABXr99-I9s8cPs-OmzMh327Kr7WpYGIHBNO2yFz5HggMEolpHIGWmHpugXt5j7V14ilbGfDqkGacCDprBQ2CJF0iBPYu899N3nk_CTMciN3eDA0KTNedUl58uh7RQ.jpg?r=285,80117498,Gritty,Marvel's The Punisher,74,A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy.,"Crime TV Shows, TV Shows Based on Comics, TV Thrillers",Steve Lightfoot
https://www.netflix.com/title/80991754,"Zoe Kazan, Betty Gabriel, Adrian Grenier",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABfhfD9iKv8rZKEpJ1zwCUH1FwziRM9rGQsFGzsqVC9fr4bE6ORBjAVpJ9VkeyJVd1kiILXRcxnVahfSrB4QSnrXdMMnTQ3Srjgdu91aykLniY-mxBpOosDwaP9CA.jpg?r=0dc,80991754,"Emotional, Exciting, Suspenseful",Clickbait,75,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.","TV Mysteries, Crime TV Shows, TV Thrillers, TV Dramas","Tony Ayres, Christian White"
https://www.netflix.com/title/81022683,"Carolina Ramírez, Carlos Torres, Andrés Sandoval",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABQed3Ol6qtwzMVkJRyEKASR4DvaKAlrsCm0RHy-QzHYMcf8uGD3af1Z_94xxP0rmKAhCAR8TFoTrtZTwFZS9lPNy_XWOHfr9UwfmuuijlDlgr1yY46BDT6fCSTz8.jpg?r=bf4,81022683,Emotional,The Queen of Flow,76,"Seventeen years after being wrongly imprisoned, a talented songwriter seeks justice against the men who caused her downfall and killed her family.","Colombian, Crime TV Shows, Music & Musicals, TV Dramas, Music, Latin Music",
https://www.netflix.com/title/81120861,"Juan Pablo Urrego, Sebastián Osorio, Patricia Tamayo",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABaV1kivjU9gDX5GwI95OvnX976-qf_niTBkrkUr5vB2qqsMKrWJzwwxNb8Ax3WEoJ3e4bgd1W-6Rbth9FFmR_ijH9CF80C_2MasKJy5Oac7QnfJIP4GVZToeLhb3.jpg?r=0c6,81120861,"Gritty, Exciting",The Snitch Cartel: Origins,77,"Over four decades, two brothers in Cali juggle family duties, multiple romances and illegal businesses, transforming from poor kids to cocaine kingpins.","Colombian, Crime TV Shows, TV Shows Based on Books, TV Dramas",
